蔵,:,⺾,ノ,戈,臣,,,
贈,:,貝,丷,田,日,,,
臓,:,月,⺾,ノ,戈,臣,,
則,:,貝,⺉,,,,,
測,:,⺡,貝,⺉,,,,
卒,:,亠,人,人,十,,,
孫,:,子,ノ,糸,,,,
尊,:,丷,酉,寸,,,,
損,:,⺘,口,貝,,,,
帯,:,十,凵,冖,巾,,,
袋,:,⺅,弋,衣,,,,
替,:,夫,夫,日,,,,
濯,:,⺡,ヨ,ヨ,隹,,,
担,:,⺘,日,一,,,,
炭,:,山,厂,火,,,,
団,:,囗,寸,,,,,
畜,:,玄,田,,,,,
築,:,竹,工,凡,木,,,
